,Unnamed: 0,스크린점유율순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수,점유율집계일,좌석판매점유율순위,좌석판매율,좌석점유율,좌석수,순위,상영횟수,상영점유율,개봉n일차,개봉n일차(int),총공급좌석수,F-rated
0,222,14,조선명탐정 : 사라진 놉의 딸,2015-02-11,4,0.2,6083000,6083000,869,869,2015-02-02,12,100.0,0.04,869,15,4,0.047,-9 days +00:00:00.000000000,-9,5203321.0,1
1,225,10,조선명탐정 : 사라진 놉의 딸,2015-02-11,9,0.4,18225000,24308000,2025,2894,2015-02-03,10,100.0,0.09,2025,10,9,0.109,-8 days +00:00:00.000000000,-8,5203321.0,1
2,243,9,조선명탐정 : 사라진 놉의 딸,2015-02-11,14,0.6,23160000,47468000,2895,5789,2015-02-04,9,97.4,0.13,2972,9,14,0.16899999999999998,-7 days +00:00:00.000000000,-7,5203321.0,1
3,256,13,조선명탐정 : 사라진 놉의 딸,2015-02-11,7,0.3,16891000,64359000,2413,8202,2015-02-05,11,99.5,0.1,2425,13,7,0.084,-6 days +00:00:00.000000000,-6,5203321.0,1
4,326,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,740,34.1,853823300,918182300,113443,121645,2015-02-11,1,14.9,32.28,762037,1,3670,46.036,0 days 00:00:00.000000000,0,5203321.0,1
5,341,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,766,36.4,825063900,1743246200,110284,231929,2015-02-12,1,14.3,32.18,771903,1,3741,49.32100000000001,1 days 00:00:00.000000000,1,5203321.0,1
6,350,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,769,36.2,1097163581,2840409781,137631,369560,2015-02-13,1,17.2,32.54,802301,1,3889,49.712,2 days 00:00:00.000000000,2,5203321.0,1
7,355,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,811,35.7,2604862268,5445272049,322022,691582,2015-02-14,1,37.9,32.47,850010,1,4111,50.64100000000001,3 days 00:00:00.000000000,3,5203321.0,1
8,378,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,810,36.2,2147212100,7592484149,269925,961507,2015-02-15,1,32.6,32.38,828623,1,3985,50.842,4 days 00:00:00.000000000,4,5203321.0,1
9,386,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,751,36.5,728943900,8321428049,97742,1059249,2015-02-16,1,12.6,32.25,778462,1,3727,50.0,5 days 00:00:00.000000000,5,5203321.0,1
10,403,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,746,37.9,1120622200,9442050249,148087,1207336,2015-02-17,1,18.7,31.5,793595,1,3812,52.645,6 days 00:00:00.000000000,6,5203321.0,1
11,405,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,804,41.6,2407918800,11849969049,296713,1504049,2015-02-18,1,33.7,33.0,879892,1,4183,59.843,7 days 00:00:00.000000000,7,5203321.0,1
12,423,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,825,38.8,3644633700,15494602749,441844,1945893,2015-02-19,1,50.2,33.37,880052,1,4184,56.979,8 days 00:00:00.000000000,8,5203321.0,1
13,437,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,813,34.9,3972232188,19466834937,497065,2442958,2015-02-20,1,57.1,32.02,871153,1,4167,53.444,9 days 00:00:00.000000000,9,5203321.0,1
14,441,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,817,35.1,3383603091,22850438028,425279,2868237,2015-02-21,1,49.5,31.66,859910,1,4136,52.782,10 days 00:00:00.000000000,10,5203321.0,1
15,451,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,804,36.5,2237192500,25087630528,283431,3151668,2015-02-22,1,34.8,31.31,815260,1,3921,53.573,11 days 00:00:00.000000000,11,5203321.0,1
16,471,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,706,41.1,532721300,25620351828,72837,3224505,2015-02-23,1,10.2,29.83,713989,1,3477,56.592,12 days 00:00:00.000000000,12,5203321.0,1
17,478,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,720,40.5,479962500,26100314328,66290,3290795,2015-02-24,1,9.4,29.43,704441,1,3441,56.225,13 days 00:00:00.000000000,13,5203321.0,1
18,494,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,666,40.2,452136500,26552450828,70091,3360886,2015-02-25,1,12.0,24.15,582540,1,2883,56.774,14 days 00:00:00.000000000,14,5203321.0,1
19,501,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,472,40.8,358879000,26911329828,49726,3410612,2015-02-26,1,12.1,16.76,411031,1,2128,62.996,15 days 00:00:00.000000000,15,5203321.0,1
20,514,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,479,42.4,429177500,27340507328,56335,3466947,2015-02-27,1,13.3,16.87,423164,1,2192,64.528,16 days 00:00:00.000000000,16,5203321.0,1
21,534,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,502,43.0,910341400,28250848728,116719,3583666,2015-02-28,1,27.4,16.31,426387,1,2228,65.742,17 days 00:00:00.000000000,17,5203321.0,1
22,539,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,503,43.4,750487500,29001336228,94690,3678356,2015-03-01,1,23.2,16.09,407499,1,2132,65.479,18 days 00:00:00.000000000,18,5203321.0,1
23,556,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,447,41.6,170882500,29172218728,23392,3701748,2015-03-02,1,6.7,15.42,350960,1,1908,62.272,19 days 00:00:00.000000000,19,5203321.0,1
24,563,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,444,42.1,159864400,29332083128,21998,3723746,2015-03-03,1,6.2,15.63,352802,1,1902,63.043,20 days 00:00:00.000000000,20,5203321.0,1
25,585,1,조선명탐정 : 사라진 놉의 딸,2015-02-11,432,40.4,131698200,29463781328,17866,3741612,2015-03-04,1,5.2,15.42,343779,1,1865,61.714,21 days 00:00:00.000000000,21,5203321.0,1
26,596,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,356,23.5,71966600,29535747928,9960,3751572,2015-03-05,3,6.2,6.79,160802,3,1097,18.332,22 days 00:00:00.000000000,22,5203321.0,1
27,609,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,362,23.5,99762300,29635510228,12796,3764368,2015-03-06,3,7.7,6.84,167074,3,1149,18.583,23 days 00:00:00.000000000,23,5203321.0,1
28,634,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,397,24.0,288680800,29924191028,36759,3801127,2015-03-07,3,22.3,6.37,164959,3,1150,17.938,24 days 00:00:00.000000000,24,5203321.0,1
29,643,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,389,23.9,248475300,30172666328,31771,3832898,2015-03-08,3,20.2,6.25,157338,3,1091,17.762999999999995,25 days 00:00:00.000000000,25,5203321.0,1
30,654,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,334,22.2,53472400,30226138728,7289,3840187,2015-03-09,3,5.4,5.97,135587,3,953,16.680999999999994,26 days 00:00:00.000000000,26,5203321.0,1
31,680,3,조선명탐정 : 사라진 놉의 딸,2015-02-11,332,21.5,52439500,30278578228,7171,3847358,2015-03-10,3,5.3,6.03,136221,3,960,16.83,27 days 00:00:00.000000000,27,5203321.0,1
